Path,Article Title,External Url,Internal Url,No Index,Last Modified,Last Modified By
"/content/help/en/adobe-connect/using/creating-importing-users-groups/auditing-and-updating-login-options",Audit and Update Login Options in Adobe Connect,,,false,2025-03-07 22:10:37,some_user62
"/content/help/en/adobe-connect/using/creating-seminars",Create and manage seminars,https://helpx.adobe.com/adobe-connect/using/creating-seminars.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/creating-seminars.html,false,2025-03-03 17:21:04,some_user63
"/content/help/en/adobe-connect/using/creating-training-courses",Create training courses in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/creating-training-courses.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/creating-training-courses.html,false,2025-03-03 17:21:03,some_user64
"/content/help/en/adobe-connect/using/creating-training-curriculums",Create and manage training curriculum in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/creating-training-curriculums.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/creating-training-curriculums.html,false,2025-03-03 17:21:01,some_user65
"/content/help/en/adobe-connect/using/creating-virtual-classrooms",About Virtual Classrooms in Adobe Connect,https://helpx.adobe.com/adobe-connect/using/creating-virtual-classrooms.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/creating-virtual-classrooms.html,false,2025-03-03 17:20:58,some_user66
"/content/help/en/adobe-connect/using/custom-pods",Custom pods,https://helpx.adobe.com/adobe-connect/using/custom-pods.html,,false,2025-03-20 17:57:09,some_user67
"/content/help/en/adobe-connect/using/deploy-offline-help",Deploy Adobe Connect offline Help bundle,https://helpx.adobe.com/adobe-connect/using/deploy-offline-help.html,,false,2022-10-06 08:46:31,some_user68
"/content/help/en/adobe-connect/using/deployment-models",Deployment models,,,false,2024-08-09 13:42:57,some_user69
"/content/help/en/adobe-connect/using/edit-recording-transcript",Edit recording transcript,https://helpx.adobe.com/adobe-connect/using/edit-recording-transcript.html,,false,2025-03-03 17:20:54,some_user70
"/content/help/en/adobe-connect/using/edit-session-recording",Edit session recording,https://helpx.adobe.com/adobe-connect/using/edit-session-recording.html,,false,2025-03-03 17:20:54,some_user71
"/content/help/en/adobe-connect/using/enable-audio-in-sessions",Enable audio in sessions,,,false,2024-09-22 11:45:18,some_user72
"/content/help/en/adobe-connect/using/enable-automated-closed-captions",Use automated closed captions,,,false,2024-10-10 09:25:05,some_user73
"/content/help/en/adobe-connect/using/enable-captions",Enable closed captions,,,false,2024-09-29 12:28:43,some_user74
"/content/help/en/adobe-connect/using/engagement-dashboard-pod",Engagement dashboard pod,https://helpx.adobe.com/adobe-connect/using/engagement-dashboard-pod.html,,true,2025-03-03 17:20:53,some_user75
"/content/help/en/adobe-connect/using/engagement-dashboard-pod1",Engagement dashboard pod,https://helpx.adobe.com/adobe-connect/using/engagement-dashboard-pod.html,,false,2025-01-22 10:21:36,some_user76
"/content/help/en/adobe-connect/using/engagement-dashboard-pod11",Engagement dashboard pod,https://helpx.adobe.com/adobe-connect/using/engagement-dashboard-pod.html,,false,2025-01-22 10:26:02,some_user77
"/content/help/en/adobe-connect/using/enter-meeting-room",Enter and leave a session,,,false,2024-09-19 17:13:17,some_user78
"/content/help/en/adobe-connect/using/event-analytics-for-webinars",Event analytics for webinars,https://helpx.adobe.com/adobe-connect/using/event-analytics-for-webinars.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/event-analytics-for-webinars.html,false,2025-03-03 17:20:48,some_user79
"/content/help/en/adobe-connect/using/event-analytics-for-webinars1",Event analytics for webinars,https://helpx.adobe.com/adobe-connect/using/event-analytics-for-webinars1.html,,true,2025-01-22 14:53:10,some_user80
"/content/help/en/adobe-connect/using/event-analytics-for-webinars11",Event analytics for webinars,https://helpx.adobe.com/adobe-connect/using/event-analytics-for-webinars.html,,false,2025-01-22 10:45:09,some_user81
"/content/help/en/adobe-connect/using/events",Manage Adobe Connect Events,https://helpx.adobe.com/adobe-connect/using/events.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/events.html,false,2025-03-03 17:20:46,some_user82
"/content/help/en/adobe-connect/using/files-pod",Files pod,https://helpx.adobe.com/adobe-connect/using/files-pod.html,,false,2025-03-03 17:20:45,some_user83
"/content/help/en/adobe-connect/using/general-faq-adobe-connect-features",General FAQs on Adobe Connect features,https://helpx.adobe.com/adobe-connect/using/general-faq-adobe-connect-features.html,,true,2025-03-03 08:28:13,some_user84
"/content/help/en/adobe-connect/using/get-started-adobe-connect-mobile-app",Get started with Adobe Connect Mobile App,https://helpx.adobe.com/adobe-connect/using/get-started-adobe-connect-mobile-app.html,,false,2025-03-20 17:57:08,some_user85
"/content/help/en/adobe-connect/using/help-assistant-user-disclosures",Adobe Generative AI User Disclosures,https://helpx.adobe.com/adobe-connect/using/help-assistant-user-disclosures.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/help-assistant-user-disclosures.html,false,2025-03-20 17:57:05,some_user86
"/content/help/en/adobe-connect/using/helpmap",Helpmap,https://helpx.adobe.com/adobe-connect/using/helpmap.html,https://helpx-internal.corp.adobe.com/content/help/en/adobe-connect/using/helpmap.html,false,2025-02-26 10:13:10,some_user87
"/content/help/en/adobe-connect/using/hold-and-end-meeting",Hold and end session,,,false,2024-09-03 05:37:50,some_user88
"/content/help/en/adobe-connect/using/interactive-webinars",Interactive webinars,https://helpx.adobe.com/adobe-connect/using/interactive-webinars.html,,false,2025-02-26 06:48:30,some_user89
"/content/help/en/adobe-connect/using/invite-attendees-and-grant-or-deny-access",Invite attendees and provide access,,,false,2024-09-09 10:12:30,some_user90
"/content/help/en/adobe-connect/using/joining-experience",Joining a meeting,,,false,2024-05-09 07:05:09,some_user91
